"Customer","Sales Order ID","ShipDate","Product","Sales","Quantity"
"Rachael, Raman","SO65751",2013-03-16,"Long-Sleeve Logo Jersey, L",49.99,1
"Angel, Parker","SO65831",2013-03-17,"Long-Sleeve Logo Jersey, L",49.99,1
"Steven, Brooks","SO65930",2013-03-18,"Long-Sleeve Logo Jersey, L",49.99,1
"Lori, Blanco","SO65886",2013-03-18,"Long-Sleeve Logo Jersey, L",49.99,1
"Emily, Martinez","SO65948",2013-03-18,"Long-Sleeve Logo Jersey, L",49.99,1
"Aimee, Li","SO65937",2013-03-18,"Long-Sleeve Logo Jersey, L",49.99,1
"Amanda, Foster","SO66032",2013-03-20,"Long-Sleeve Logo Jersey, L",49.99,1
"Zoe, Murphy","SO66036",2013-03-20,"Long-Sleeve Logo Jersey, L",49.99,1
"Blake, Evans","SO66050",2013-03-20,"Long-Sleeve Logo Jersey, L",49.99,1
"Erick, Srini","SO66016",2013-03-20,"Long-Sleeve Logo Jersey, L",49.99,1
"Sara, Cooper","SO66071",2013-03-20,"Long-Sleeve Logo Jersey, L",49.99,1
"Christian, Walker","SO66156",2013-03-22,"Long-Sleeve Logo Jersey, L",49.99,1
"Destiny, Simmons","SO66167",2013-03-22,"Long-Sleeve Logo Jersey, L",49.99,1
"Douglas, Vance","SO66295",2013-03-24,"Long-Sleeve Logo Jersey, L",49.99,1
"Joel, Raman","SO66382",2013-03-26,"Long-Sleeve Logo Jersey, L",49.99,1
"Hannah, Coleman","SO66457",2013-03-27,"Long-Sleeve Logo Jersey, L",49.99,1
"Kristin, Xie","SO66609",2013-03-29,"Long-Sleeve Logo Jersey, L",49.99,1
"Shane, Srini","SO66683",2013-03-30,"Long-Sleeve Logo Jersey, L",49.99,1
"Eduardo, Patterson","SO66784",2013-04-01,"Long-Sleeve Logo Jersey, L",49.99,1
"Roy, Blanco","SO66846",2013-04-02,"Long-Sleeve Logo Jersey, L",49.99,1
"Omar, Nath","SO67002",2013-04-04,"Long-Sleeve Logo Jersey, L",49.99,1
"Leslie, Jimenez","SO66955",2013-04-04,"Long-Sleeve Logo Jersey, L",49.99,1
"Casey, Shen","SO67063",2013-04-05,"Long-Sleeve Logo Jersey, L",49.99,1
"Omar, Yang","SO67062",2013-04-05,"Long-Sleeve Logo Jersey, L",49.99,1
"Xavier, Garcia","SO67046",2013-04-05,"Long-Sleeve Logo Jersey, L",49.99,1
"Jamie, Zeng","SO67182",2013-04-07,"Long-Sleeve Logo Jersey, L",49.99,1
"Christy, Nath","SO67198",2013-04-07,"Long-Sleeve Logo Jersey, L",49.99,1
"Accumedic Systems","SO67318",2013-04-09,"Long-Sleeve Logo Jersey, L",29.99,1
"Luis, Diaz","SO67351",2013-04-09,"Long-Sleeve Logo Jersey, L",49.99,1
"Zitel","SO67288",2013-04-09,"Long-Sleeve Logo Jersey, L",59.99,2
"Deere and Company","SO67290",2013-04-09,"Long-Sleeve Logo Jersey, L",89.98,3
"Mersey Docks","SO67308",2013-04-09,"Long-Sleeve Logo Jersey, L",119.98,4
"Elucidex","SO67294",2013-04-09,"Long-Sleeve Logo Jersey, L",119.98,4
"iLanguage","SO67314",2013-04-09,"Long-Sleeve Logo Jersey, L",119.98,4
"R2J2","SO67271",2013-04-09,"Long-Sleeve Logo Jersey, L",119.98,4
"Ra Co Amo","SO67315",2013-04-09,"Long-Sleeve Logo Jersey, L",119.98,4
"Quallaby","SO67312",2013-04-09,"Long-Sleeve Logo Jersey, L",149.97,5
"Trust Company of Georgia","SO67287",2013-04-09,"Long-Sleeve Logo Jersey, L",149.97,5
"T3West","SO67339",2013-04-09,"Long-Sleeve Logo Jersey, L",209.96,7
"Quantum Leap  Solutions","SO67277",2013-04-09,"Long-Sleeve Logo Jersey, L",209.96,7
"Bibb Manufacturing Company","SO67289",2013-04-09,"Long-Sleeve Logo Jersey, L",239.95,8
"Aberdeen","SO67293",2013-04-09,"Long-Sleeve Logo Jersey, L",239.95,8
"Karsing","SO67276",2013-04-09,"Long-Sleeve Logo Jersey, L",239.95,8
"eDistrict","SO67316",2013-04-09,"Long-Sleeve Logo Jersey, L",239.95,8
"Towmotor Corporation","SO67260",2013-04-09,"Long-Sleeve Logo Jersey, L",239.95,8
"Reflex Presentations","SO67349",2013-04-09,"Long-Sleeve Logo Jersey, L",269.95,9
"Best Way! Imaging","SO67278",2013-04-09,"Long-Sleeve Logo Jersey, L",299.94,10
"Idyllwild","SO67347",2013-04-09,"Long-Sleeve Logo Jersey, L",299.94,10
"Razorfish","SO67305",2013-04-09,"Long-Sleeve Logo Jersey, L",299.94,10
"MATRIX","SO67327",2013-04-09,"Long-Sleeve Logo Jersey, L",299.94,10
"Central Soya Company","SO67324",2013-04-09,"Long-Sleeve Logo Jersey, L",340.97,12
"SASCO PC Products","SO67273",2013-04-09,"Long-Sleeve Logo Jersey, L",340.97,12
"Iconation","SO67343",2013-04-09,"Long-Sleeve Logo Jersey, L",340.97,12
"Filene’s","SO67325",2013-04-09,"Long-Sleeve Logo Jersey, L",397.80,14
"GammaGraphX (GGX)","SO67268",2013-04-09,"Long-Sleeve Logo Jersey, L",417.92,16
"Jamie, Li","SO67542",2013-04-11,"Long-Sleeve Logo Jersey, L",49.99,1
"Michele, Suarez","SO67548",2013-04-11,"Long-Sleeve Logo Jersey, L",49.99,1
"Noah, Shan","SO67600",2013-04-12,"Long-Sleeve Logo Jersey, L",49.99,1
"Megan, Martinez","SO67635",2013-04-12,"Long-Sleeve Logo Jersey, L",49.99,1
"Crystal, Zhang","SO67586",2013-04-12,"Long-Sleeve Logo Jersey, L",49.99,1
"Isabella, Foster","SO67639",2013-04-12,"Long-Sleeve Logo Jersey, L",49.99,1
"Alejandro, Zhu","SO67613",2013-04-12,"Long-Sleeve Logo Jersey, L",49.99,1
"Katelyn, King","SO67738",2013-04-14,"Long-Sleeve Logo Jersey, L",49.99,1
"Riley, Brooks","SO67830",2013-04-15,"Long-Sleeve Logo Jersey, L",49.99,1
"Melinda, Ortega","SO67873",2013-04-16,"Long-Sleeve Logo Jersey, L",49.99,1
"Kristi, Patel","SO67883",2013-04-16,"Long-Sleeve Logo Jersey, L",49.99,1
"Eddie, Gutierrez","SO67956",2013-04-17,"Long-Sleeve Logo Jersey, L",49.99,1
"Emily, Alexander","SO68078",2013-04-19,"Long-Sleeve Logo Jersey, L",49.99,1
"Randall, Dominguez","SO68134",2013-04-20,"Long-Sleeve Logo Jersey, L",49.99,1
"Gina, Alvarez","SO68102",2013-04-20,"Long-Sleeve Logo Jersey, L",49.99,1
"Noah, Bryant","SO68159",2013-04-21,"Long-Sleeve Logo Jersey, L",49.99,1
"Julio, Torres","SO68198",2013-04-21,"Long-Sleeve Logo Jersey, L",49.99,1
"Jason, Hall","SO68180",2013-04-21,"Long-Sleeve Logo Jersey, L",49.99,1
"Lauren, Wood","SO68261",2013-04-22,"Long-Sleeve Logo Jersey, L",49.99,1
"Kaylee, Turner","SO68237",2013-04-22,"Long-Sleeve Logo Jersey, L",49.99,1
"Sean, Nelson","SO68420",2013-04-25,"Long-Sleeve Logo Jersey, L",49.99,1
"Susan, Yang","SO68439",2013-04-25,"Long-Sleeve Logo Jersey, L",49.99,1
"Leonard, Chande","SO68498",2013-04-26,"Long-Sleeve Logo Jersey, L",49.99,1
"Jaclyn, Lal","SO68532",2013-04-26,"Long-Sleeve Logo Jersey, L",49.99,1
"Alex, Phillips","SO68486",2013-04-26,"Long-Sleeve Logo Jersey, L",49.99,1
"Jose, Harris","SO68471",2013-04-26,"Long-Sleeve Logo Jersey, L",49.99,1
"Megan, Sanchez","SO68609",2013-04-27,"Long-Sleeve Logo Jersey, L",49.99,1
"Alexandra, Price","SO68617",2013-04-27,"Long-Sleeve Logo Jersey, L",49.99,1
"Cody, Sanchez","SO68610",2013-04-27,"Long-Sleeve Logo Jersey, L",49.99,1
"Bobby, Sanchez","SO68622",2013-04-27,"Long-Sleeve Logo Jersey, L",49.99,1
"Louis, Liang","SO68680",2013-04-28,"Long-Sleeve Logo Jersey, L",49.99,1
"Chloe, Roberts","SO68658",2013-04-28,"Long-Sleeve Logo Jersey, L",49.99,1
"Paige, Hughes","SO68634",2013-04-28,"Long-Sleeve Logo Jersey, L",49.99,1
"Kevin, Kumar","SO68726",2013-04-29,"Long-Sleeve Logo Jersey, L",49.99,1
"Nathan, Wilson","SO68761",2013-04-30,"Long-Sleeve Logo Jersey, L",49.99,1
"Isabella, Allen","SO68766",2013-04-30,"Long-Sleeve Logo Jersey, L",49.99,1
"Adam, Nelson","SO68841",2013-05-01,"Long-Sleeve Logo Jersey, L",49.99,1
"Victoria, Morgan","SO68944",2013-05-02,"Long-Sleeve Logo Jersey, L",49.99,1
"Douglas, Perez","SO68898",2013-05-02,"Long-Sleeve Logo Jersey, L",49.99,1
"Raul, Black","SO68945",2013-05-02,"Long-Sleeve Logo Jersey, L",49.99,1
"Clarence, Jai","SO69023",2013-05-03,"Long-Sleeve Logo Jersey, L",49.99,1
"Reginald, Suarez","SO68966",2013-05-03,"Long-Sleeve Logo Jersey, L",49.99,1
"Brendan, Beck","SO69102",2013-05-05,"Long-Sleeve Logo Jersey, L",49.99,1
"Candace, Sanchez","SO69226",2013-05-06,"Long-Sleeve Logo Jersey, L",49.99,1
"Ariana, Morgan","SO69287",2013-05-07,"Long-Sleeve Logo Jersey, L",49.99,1
"Trisha, She","SO69324",2013-05-08,"Long-Sleeve Logo Jersey, L",49.99,1
"Sarcom","SO69445",2013-05-09,"Long-Sleeve Logo Jersey, L",29.99,1
"PagePoint","SO69396",2013-05-09,"Long-Sleeve Logo Jersey, L",29.99,1
"ABSolute","SO69409",2013-05-09,"Long-Sleeve Logo Jersey, L",29.99,1
"BF Datacom","SO69415",2013-05-09,"Long-Sleeve Logo Jersey, L",29.99,1
"KentISP","SO69406",2013-05-09,"Long-Sleeve Logo Jersey, L",29.99,1
"David Spencer Ltd.","SO69462",2013-05-09,"Long-Sleeve Logo Jersey, L",29.99,1
"Sarcom","SO69309",2013-05-09,"Long-Sleeve Logo Jersey, L",59.99,2
"Active","SO69411",2013-05-09,"Long-Sleeve Logo Jersey, L",59.99,2
"Velos Medical Informatics","SO69493",2013-05-09,"Long-Sleeve Logo Jersey, L",59.99,2
"U. S. Exchange","SO69482",2013-05-09,"Long-Sleeve Logo Jersey, L",59.99,2
"Farmland Industries","SO69442",2013-05-09,"Long-Sleeve Logo Jersey, L",59.99,2
"Dan River Mills, Inc.","SO69528",2013-05-09,"Long-Sleeve Logo Jersey, L",59.99,2
"Hauppauge Works","SO69506",2013-05-09,"Long-Sleeve Logo Jersey, L",59.99,2
"Bezeq","SO69489",2013-05-09,"Long-Sleeve Logo Jersey, L",89.98,3
"Beckman Instruments, Inc.","SO69410",2013-05-09,"Long-Sleeve Logo Jersey, L",89.98,3
"Onestar","SO69532",2013-05-09,"Long-Sleeve Logo Jersey, L",89.98,3
"Del Monte Corporation","SO69456",2013-05-09,"Long-Sleeve Logo Jersey, L",89.98,3
"Debian","SO69508",2013-05-09,"Long-Sleeve Logo Jersey, L",89.98,3
"Quantex Microsystems","SO69564",2013-05-09,"Long-Sleeve Logo Jersey, L",89.98,3
"R&R Group","SO69479",2013-05-09,"Long-Sleeve Logo Jersey, L",89.98,3
"A-02-Z Solutions","SO69466",2013-05-09,"Long-Sleeve Logo Jersey, L",119.98,4
"Cajun","SO69399",2013-05-09,"Long-Sleeve Logo Jersey, L",119.98,4
"Ferst","SO69412",2013-05-09,"Long-Sleeve Logo Jersey, L",119.98,4
"We Find It 4 U","SO69561",2013-05-09,"Long-Sleeve Logo Jersey, L",119.98,4
"Valley  Solutions","SO69555",2013-05-09,"Long-Sleeve Logo Jersey, L",119.98,4
"Caribian Specialties","SO69444",2013-05-09,"Long-Sleeve Logo Jersey, L",119.98,4
"LiveWire BBS and   Favourite Links","SO69465",2013-05-09,"Long-Sleeve Logo Jersey, L",119.98,4
"Rdlabs","SO69503",2013-05-09,"Long-Sleeve Logo Jersey, L",149.97,5
"Helfand Enterprises","SO69522",2013-05-09,"Long-Sleeve Logo Jersey, L",149.97,5
"IBVA","SO69461",2013-05-09,"Long-Sleeve Logo Jersey, L",149.97,5
"Pinnacle","SO69467",2013-05-09,"Long-Sleeve Logo Jersey, L",149.97,5
"A&R Partners","SO69474",2013-05-09,"Long-Sleeve Logo Jersey, L",149.97,5
"iBEAM","SO69526",2013-05-09,"Long-Sleeve Logo Jersey, L",179.96,6
"Zocalo","SO69520",2013-05-09,"Long-Sleeve Logo Jersey, L",179.96,6
"Abbotsbury","SO69545",2013-05-09,"Long-Sleeve Logo Jersey, L",179.96,6
"YourFuture","SO69464",2013-05-09,"Long-Sleeve Logo Jersey, L",179.96,6
"PageWeavers","SO69401",2013-05-09,"Long-Sleeve Logo Jersey, L",209.96,7
"Litton","SO69478",2013-05-09,"Long-Sleeve Logo Jersey, L",209.96,7
"Vector USA","SO69437",2013-05-09,"Long-Sleeve Logo Jersey, L",299.94,10
"Ferrari","SO69511",2013-05-09,"Long-Sleeve Logo Jersey, L",299.94,10
"UTStarGate","SO69475",2013-05-09,"Long-Sleeve Logo Jersey, L",299.94,10
"Panasonic","SO69454",2013-05-09,"Long-Sleeve Logo Jersey, L",340.97,12
"Gebbie Press","SO69540",2013-05-09,"Long-Sleeve Logo Jersey, L",340.97,12
"Helios","SO69422",2013-05-09,"Long-Sleeve Logo Jersey, L",340.97,12
"High  Logistics (HTL)","SO69426",2013-05-09,"Long-Sleeve Logo Jersey, L",397.80,14
"Dale, Lal","SO69760",2013-05-11,"Long-Sleeve Logo Jersey, L",49.99,1
"Madison, Harris","SO69787",2013-05-11,"Long-Sleeve Logo Jersey, L",49.99,1
"Gabrielle, Turner","SO69853",2013-05-12,"Long-Sleeve Logo Jersey, L",49.99,1
"Xavier, Collins","SO69908",2013-05-13,"Long-Sleeve Logo Jersey, L",49.99,1
"Marcus, Adams","SO69978",2013-05-14,"Long-Sleeve Logo Jersey, L",49.99,1
"Jordan, Griffin","SO70043",2013-05-15,"Long-Sleeve Logo Jersey, L",49.99,1
"Brittney, Ye","SO70080",2013-05-15,"Long-Sleeve Logo Jersey, L",49.99,1
"Robert, Hernandez","SO70218",2013-05-17,"Long-Sleeve Logo Jersey, L",49.99,1
"Julia, Robinson","SO70183",2013-05-17,"Long-Sleeve Logo Jersey, L",49.99,1
"Whitney, Kapoor","SO70274",2013-05-18,"Long-Sleeve Logo Jersey, L",49.99,1
"Olivia, Harris","SO70304",2013-05-18,"Long-Sleeve Logo Jersey, L",49.99,1
"Bianca, Liang","SO70530",2013-05-22,"Long-Sleeve Logo Jersey, L",49.99,1
"Jeremy, Bailey","SO70622",2013-05-23,"Long-Sleeve Logo Jersey, L",49.99,1
"Marcus, Nelson","SO70762",2013-05-25,"Long-Sleeve Logo Jersey, L",49.99,1
"Cassidy, Diaz","SO70833",2013-05-26,"Long-Sleeve Logo Jersey, L",49.99,1
"Brianna, James","SO70853",2013-05-26,"Long-Sleeve Logo Jersey, L",49.99,1
"Benjamin, Garcia","SO70863",2013-05-26,"Long-Sleeve Logo Jersey, L",49.99,1
"Jay, Prasad","SO70913",2013-05-27,"Long-Sleeve Logo Jersey, L",49.99,1
"Thomas, Thompson","SO70890",2013-05-27,"Long-Sleeve Logo Jersey, L",49.99,1
"Noah, White","SO70989",2013-05-28,"Long-Sleeve Logo Jersey, L",49.99,1
"Gabriella, Cooper","SO71014",2013-05-28,"Long-Sleeve Logo Jersey, L",49.99,1
"Kristine, Ortega","SO70963",2013-05-28,"Long-Sleeve Logo Jersey, L",49.99,1
"Jacqueline, Howard","SO70957",2013-05-28,"Long-Sleeve Logo Jersey, L",49.99,1
"Jordan, Lal","SO71010",2013-05-28,"Long-Sleeve Logo Jersey, L",49.99,1
"Amy, Lin","SO71145",2013-05-30,"Long-Sleeve Logo Jersey, L",49.99,1
"Jermaine, Sai","SO71173",2013-05-31,"Long-Sleeve Logo Jersey, L",49.99,1
"Seth, Hayes","SO71177",2013-05-31,"Long-Sleeve Logo Jersey, L",49.99,1
"Jimmy, Alonso","SO71290",2013-06-02,"Long-Sleeve Logo Jersey, L",49.99,1
"Tiffany, Huang","SO71338",2013-06-02,"Long-Sleeve Logo Jersey, L",49.99,1
"Carolyn, Martin","SO71403",2013-06-03,"Long-Sleeve Logo Jersey, L",49.99,1
"Gerald, Suri","SO71359",2013-06-03,"Long-Sleeve Logo Jersey, L",49.99,1
"Cindy, Ramos","SO71432",2013-06-04,"Long-Sleeve Logo Jersey, L",49.99,1
"Katie, Raje","SO71447",2013-06-04,"Long-Sleeve Logo Jersey, L",49.99,1
"Kaitlin, Kapoor","SO71498",2013-06-05,"Long-Sleeve Logo Jersey, L",49.99,1
"Kimball (W.W.) Company","SO71841",2013-06-09,"Long-Sleeve Logo Jersey, L",29.99,1
"Jones and Laughlin Steel Corporation","SO71914",2013-06-09,"Long-Sleeve Logo Jersey, L",29.99,1
"Unimedya","SO71901",2013-06-09,"Long-Sleeve Logo Jersey, L",29.99,1
"Overdreams","SO71941",2013-06-09,"Long-Sleeve Logo Jersey, L",29.99,1
"DEAC","SO71790",2013-06-09,"Long-Sleeve Logo Jersey, L",29.99,1
"GCC Technologies","SO71895",2013-06-09,"Long-Sleeve Logo Jersey, L",59.99,2
"PageSites","SO71858",2013-06-09,"Long-Sleeve Logo Jersey, L",59.99,2
"Accel Partners","SO71845",2013-06-09,"Long-Sleeve Logo Jersey, L",59.99,2
"EDA Today","SO71816",2013-06-09,"Long-Sleeve Logo Jersey, L",59.99,2
"A2Z Solutions","SO71794",2013-06-09,"Long-Sleeve Logo Jersey, L",59.99,2
"T.F.C.","SO71938",2013-06-09,"Long-Sleeve Logo Jersey, L",89.98,3
"Boston and Albany Railroad Company","SO71902",2013-06-09,"Long-Sleeve Logo Jersey, L",89.98,3
"Todd Shipyards Corporation","SO71779",2013-06-09,"Long-Sleeve Logo Jersey, L",89.98,3
"PADL","SO71819",2013-06-09,"Long-Sleeve Logo Jersey, L",89.98,3
"Target Marketing","SO71894",2013-06-09,"Long-Sleeve Logo Jersey, L",89.98,3
"Home Team","SO71813",2013-06-09,"Long-Sleeve Logo Jersey, L",89.98,3
"Sun Microsystems","SO71797",2013-06-09,"Long-Sleeve Logo Jersey, L",119.98,4
"Filetron","SO71947",2013-06-09,"Long-Sleeve Logo Jersey, L",119.98,4
"Big Planet","SO71833",2013-06-09,"Long-Sleeve Logo Jersey, L",119.98,4
"VEI","SO71854",2013-06-09,"Long-Sleeve Logo Jersey, L",119.98,4
"Wayne's  World","SO71945",2013-06-09,"Long-Sleeve Logo Jersey, L",119.98,4
"Kensington  Group","SO71892",2013-06-09,"Long-Sleeve Logo Jersey, L",119.98,4
"Guarantee Mutual Life Company","SO71886",2013-06-09,"Long-Sleeve Logo Jersey, L",149.97,5
"Parian Development Group","SO71852",2013-06-09,"Long-Sleeve Logo Jersey, L",149.97,5
"Hill and Knowlton, Inc.","SO71890",2013-06-09,"Long-Sleeve Logo Jersey, L",179.96,6
"Koppers Company, Inc.","SO71803",2013-06-09,"Long-Sleeve Logo Jersey, L",179.96,6
"ValiCert","SO71795",2013-06-09,"Long-Sleeve Logo Jersey, L",179.96,6
"Today","SO71822",2013-06-09,"Long-Sleeve Logo Jersey, L",209.96,7
"Échange CAC Exchange","SO71889",2013-06-09,"Long-Sleeve Logo Jersey, L",239.95,8
"Big Picture Technologies","SO71826",2013-06-09,"Long-Sleeve Logo Jersey, L",239.95,8
"activeDesign","SO71784",2013-06-09,"Long-Sleeve Logo Jersey, L",239.95,8
"Home Pages","SO71782",2013-06-09,"Long-Sleeve Logo Jersey, L",239.95,8
"FiberPlex","SO71844",2013-06-09,"Long-Sleeve Logo Jersey, L",299.94,10
"CAF Systemhaus","SO71839",2013-06-09,"Long-Sleeve Logo Jersey, L",299.94,10
"Xyratex","SO71851",2013-06-09,"Long-Sleeve Logo Jersey, L",312.56,11
"AC&E","SO71949",2013-06-09,"Long-Sleeve Logo Jersey, L",340.97,12
"Acara","SO71830",2013-06-09,"Long-Sleeve Logo Jersey, L",340.97,12
"Venable","SO71808",2013-06-09,"Long-Sleeve Logo Jersey, L",340.97,12
"U.S. West","SO71801",2013-06-09,"Long-Sleeve Logo Jersey, L",391.80,15
"Helius","SO71783",2013-06-09,"Long-Sleeve Logo Jersey, L",444.04,17
"High Country Access","SO71805",2013-06-09,"Long-Sleeve Logo Jersey, L",470.16,18
"Alyssa, Barnes","SO72037",2013-06-10,"Long-Sleeve Logo Jersey, L",49.99,1
"Madison, Thomas","SO72040",2013-06-10,"Long-Sleeve Logo Jersey, L",49.99,1
"Andrea, Hall","SO72023",2013-06-10,"Long-Sleeve Logo Jersey, L",49.99,1
"Sydney, White","SO72155",2013-06-12,"Long-Sleeve Logo Jersey, L",49.99,1
"Edward, Alexander","SO72152",2013-06-12,"Long-Sleeve Logo Jersey, L",49.99,1
"Allison, Collins","SO72150",2013-06-12,"Long-Sleeve Logo Jersey, L",49.99,1
"Sebastian, Sanchez","SO72313",2013-06-14,"Long-Sleeve Logo Jersey, L",49.99,1
"Justin, Wilson","SO72288",2013-06-14,"Long-Sleeve Logo Jersey, L",49.99,1
"Emma, Lewis","SO72345",2013-06-14,"Long-Sleeve Logo Jersey, L",49.99,1
"Lee, Ramos","SO72309",2013-06-14,"Long-Sleeve Logo Jersey, L",49.99,1
"Jackson, Sharma","SO72393",2013-06-15,"Long-Sleeve Logo Jersey, L",49.99,1
"Anna, Miller","SO72402",2013-06-15,"Long-Sleeve Logo Jersey, L",49.99,1
"Colleen, Zheng","SO72447",2013-06-16,"Long-Sleeve Logo Jersey, L",49.99,1
"Patricia, Madan","SO72488",2013-06-16,"Long-Sleeve Logo Jersey, L",49.99,1
"Evan, Morgan","SO72687",2013-06-19,"Long-Sleeve Logo Jersey, L",49.99,1
"Ernest, Xu","SO72795",2013-06-21,"Long-Sleeve Logo Jersey, L",49.99,1
"Derrick, Schmidt","SO72940",2013-06-22,"Long-Sleeve Logo Jersey, L",49.99,1
"Samantha, Davis","SO73017",2013-06-23,"Long-Sleeve Logo Jersey, L",49.99,1
"Sierra, Wright","SO73087",2013-06-24,"Long-Sleeve Logo Jersey, L",49.99,1
"Sebastian, Gray","SO73158",2013-06-25,"Long-Sleeve Logo Jersey, L",49.99,1
"Ernest, Liu","SO73189",2013-06-26,"Long-Sleeve Logo Jersey, L",49.99,1
"Ashley, Brown","SO73200",2013-06-26,"Long-Sleeve Logo Jersey, L",49.99,1
"Isabella, Russell","SO73280",2013-06-27,"Long-Sleeve Logo Jersey, L",49.99,1
"Ana, Ross","SO73299",2013-06-27,"Long-Sleeve Logo Jersey, L",49.99,1
"Nicole, Foster","SO73289",2013-06-27,"Long-Sleeve Logo Jersey, L",49.99,1
"Noah, Davis","SO73259",2013-06-27,"Long-Sleeve Logo Jersey, L",49.99,1
"Brianna, Kelly","SO73420",2013-06-29,"Long-Sleeve Logo Jersey, L",49.99,1
"Miguel, Parker","SO73491",2013-06-29,"Long-Sleeve Logo Jersey, L",49.99,1
"Chloe, Phillips","SO73446",2013-06-29,"Long-Sleeve Logo Jersey, L",49.99,1
"Destiny, Cook","SO73538",2013-06-30,"Long-Sleeve Logo Jersey, L",49.99,1
"Jacob, Anderson","SO73510",2013-06-30,"Long-Sleeve Logo Jersey, L",49.99,1
"Kari, Mehta","SO73686",2013-07-02,"Long-Sleeve Logo Jersey, L",49.99,1
"Lindsey, Sharma","SO73679",2013-07-02,"Long-Sleeve Logo Jersey, L",49.99,1
"Spencer, Griffin","SO73758",2013-07-03,"Long-Sleeve Logo Jersey, L",49.99,1
"Lacey, Kumar","SO73786",2013-07-03,"Long-Sleeve Logo Jersey, L",49.99,1
"Ronnie, He","SO73780",2013-07-03,"Long-Sleeve Logo Jersey, L",49.99,1
"Jeremiah, Hill","SO73740",2013-07-03,"Long-Sleeve Logo Jersey, L",49.99,1
"Brandon, Li","SO73739",2013-07-03,"Long-Sleeve Logo Jersey, L",49.99,1
"Jasmine, Powell","SO73791",2013-07-04,"Long-Sleeve Logo Jersey, L",49.99,1
"Teresa, Diaz","SO73790",2013-07-04,"Long-Sleeve Logo Jersey, L",49.99,1
"Danny, Travers","SO73872",2013-07-05,"Long-Sleeve Logo Jersey, L",49.99,1
"Bradley, Sharma","SO73957",2013-07-06,"Long-Sleeve Logo Jersey, L",49.99,1
"Elijah, Alexander","SO74049",2013-07-07,"Long-Sleeve Logo Jersey, L",49.99,1
"Joy, Ruiz","SO61113",2013-01-07,"Long-Sleeve Logo Jersey, M",49.99,1
"Emma, Washington","SO61168",2013-01-07,"Long-Sleeve Logo Jersey, M",49.99,1
"Alexia, Perry","SO61269",2013-01-08,"Long-Sleeve Logo Jersey, M",49.99,1
"iLanguage","SO61239",2013-01-08,"Long-Sleeve Logo Jersey, M",59.99,2
"T3West","SO61258",2013-01-08,"Long-Sleeve Logo Jersey, M",89.98,3
"Filene’s","SO61243",2013-01-08,"Long-Sleeve Logo Jersey, M",89.98,3
"Elucidex","SO61195",2013-01-08,"Long-Sleeve Logo Jersey, M",89.98,3
"GammaGraphX (GGX)","SO61204",2013-01-08,"Long-Sleeve Logo Jersey, M",89.98,3
"Best Way! Imaging","SO61190",2013-01-08,"Long-Sleeve Logo Jersey, M",89.98,3
"Central Soya Company","SO61263",2013-01-08,"Long-Sleeve Logo Jersey, M",119.98,4
"Idyllwild","SO61210",2013-01-08,"Long-Sleeve Logo Jersey, M",119.98,4
"Razorfish","SO61184",2013-01-08,"Long-Sleeve Logo Jersey, M",119.98,4
"Bibb Manufacturing Company","SO61229",2013-01-08,"Long-Sleeve Logo Jersey, M",149.97,5
"Iconation","SO61238",2013-01-08,"Long-Sleeve Logo Jersey, M",149.97,5
"MATRIX","SO61240",2013-01-08,"Long-Sleeve Logo Jersey, M",149.97,5
"eDistrict","SO61248",2013-01-08,"Long-Sleeve Logo Jersey, M",209.96,7
"Reflex Presentations","SO61228",2013-01-08,"Long-Sleeve Logo Jersey, M",269.95,9
"Orlando, Martin","SO61341",2013-01-09,"Long-Sleeve Logo Jersey, M",49.99,1
"Emma, Lee","SO61394",2013-01-10,"Long-Sleeve Logo Jersey, M",49.99,1
"Destiny, Jenkins","SO61536",2013-01-12,"Long-Sleeve Logo Jersey, M",49.99,1
"Maria, Jenkins","SO61553",2013-01-13,"Long-Sleeve Logo Jersey, M",49.99,1
"Kaylee, Kelly","SO61635",2013-01-14,"Long-Sleeve Logo Jersey, M",49.99,1
"Jaclyn, Ma","SO61629",2013-01-14,"Long-Sleeve Logo Jersey, M",49.99,1
"Calvin, Nara","SO61663",2013-01-15,"Long-Sleeve Logo Jersey, M",49.99,1
"Wendy, Gutierrez","SO61762",2013-01-16,"Long-Sleeve Logo Jersey, M",49.99,1
"Katie, Luo","SO61838",2013-01-17,"Long-Sleeve Logo Jersey, M",49.99,1
"Bruce, Perez","SO61829",2013-01-17,"Long-Sleeve Logo Jersey, M",49.99,1
"Angel, Adams","SO61811",2013-01-17,"Long-Sleeve Logo Jersey, M",49.99,1
"Alisha, Lu","SO61853",2013-01-17,"Long-Sleeve Logo Jersey, M",49.99,1
"Amy, Zhao","SO61821",2013-01-17,"Long-Sleeve Logo Jersey, M",49.99,1
"Alison, Nath","SO61918",2013-01-18,"Long-Sleeve Logo Jersey, M",49.99,1
"Colleen, Nath","SO61966",2013-01-19,"Long-Sleeve Logo Jersey, M",49.99,1
"Bryant, Fernandez","SO62069",2013-01-21,"Long-Sleeve Logo Jersey, M",49.99,1
"Jesse, King","SO62028",2013-01-21,"Long-Sleeve Logo Jersey, M",49.99,1
"Calvin, Goel","SO62052",2013-01-21,"Long-Sleeve Logo Jersey, M",49.99,1
